iter	MultiClass
2404	0.002303100028
2405	0.002302650722
2406	0.002301711049
2407	0.002300920436
2408	0.002300527189
2409	0.002299486103
2410	0.002298030232
2411	0.002296936924
2412	0.002295224849
2413	0.002294791783
2414	0.00229422525
2415	0.002293079449
2416	0.002291729979
2417	0.0022911662
2418	0.002290374945
2419	0.002288639165
2420	0.002287527401
2421	0.002285142464
2422	0.002284152971
2423	0.00228238776
2424	0.002280865482
2425	0.00228041005
2426	0.002279627562
2427	0.002279152656
2428	0.002278690953
2429	0.002277989665
2430	0.002276681796
2431	0.002275860394
2432	0.002274762866
2433	0.002273845268
2434	0.002273329833
2435	0.002272186078
2436	0.002271430906
2437	0.002270082184
2438	0.002269501305
2439	0.002269045077
2440	0.002267695301
2441	0.00226648486
2442	0.002265987176
2443	0.002264752226
2444	0.002264032603
2445	0.002263438923
2446	0.00226252097
2447	0.002260331923
2448	0.002259626195
2449	0.002258897945
2450	0.002257810495
2451	0.002256493681
2452	0.002255199842
2453	0.00225419533
2454	0.002253496158
2455	0.002252777986
2456	0.002252230517
2457	0.00225126178
2458	0.002250684694
2459	0.002249607169
2460	0.00224885734
2461	0.002247622771
2462	0.00224669128
2463	0.002245455308
2464	0.002244722811
2465	0.002244017954
2466	0.002242348606
2467	0.002241186078
2468	0.002240072798
2469	0.002239260066
2470	0.002238194403
2471	0.002237300335
2472	0.002236009399
2473	0.002234554971
2474	0.002233290223
2475	0.002232329598
2476	0.002231167988
2477	0.002230362026
2478	0.002229934078
2479	0.002229047808
2480	0.002228552775
2481	0.002227913059
2482	0.002227461562
2483	0.002226906324
2484	0.002226191299
2485	0.002225136205
2486	0.002224091156
2487	0.002223216134
2488	0.002222650025
2489	0.002221286266
2490	0.00222037647
2491	0.002219207971
2492	0.002218477599
2493	0.002217914434
2494	0.002216502209
2495	0.0022155796
2496	0.002214477064
2497	0.002213029153
2498	0.002211926553
2499	0.002211092924
2500	0.002210462332
2501	0.002209886514
2502	0.002208050541
2503	0.002206934686
2504	0.002205869107
2505	0.002204813243
2506	0.002204192953
2507	0.002203646072
2508	0.00220307494
2509	0.002202145317
2510	0.002201215174
2511	0.002200510773
2512	0.00219937708
2513	0.002198536616
2514	0.002197312954
2515	0.002196403561
2516	0.002195596467
2517	0.00219482007
2518	0.002194008795
2519	0.002193166621
2520	0.00219214447
2521	0.002190474196
2522	0.002188540964
2523	0.002187807707
2524	0.002186785442
2525	0.002186036884
2526	0.00218546398
2527	0.002184892657
2528	0.002183001793
2529	0.002180892606
2530	0.002179860903
2531	0.002178923697
2532	0.002177779049
2533	0.002176905579
2534	0.002176608295
2535	0.002175545231
2536	0.002174453813
2537	0.002173702772
2538	0.002172510073
2539	0.002172162552
2540	0.002170831325
2541	0.002169477609
2542	0.002168204921
2543	0.002167109013
2544	0.002166375411
2545	0.002165229498
2546	0.002164001965
2547	0.002163063219
2548	0.002162512397
2549	0.002161961391
2550	0.002161006842
2551	0.002159716227
2552	0.002158488487
2553	0.002157799387
2554	0.002156849704
2555	0.002156323454
2556	0.002155242323
2557	0.002154662935
2558	0.002153791036
2559	0.002152675488
2560	0.002152142925
2561	0.002151707306
2562	0.002149495984
2563	0.002148665987
2564	0.002147951573
2565	0.002147193825
2566	0.002146667363
2567	0.0021454831
2568	0.002144538374
2569	0.002143377364
2570	0.002142583485
2571	0.002141543688
2572	0.002140554962
2573	0.002139922356
2574	0.002139005076
2575	0.002138131935
2576	0.002136718567
2577	0.002135978208
2578	0.002135687511
2579	0.002134945448
2580	0.002134017009
2581	0.002133133214
2582	0.002131583411
2583	0.002131158446
2584	0.002130255102
2585	0.002129952863
2586	0.002129364367
2587	0.002128461749
2588	0.002127447389
2589	0.002126827543
2590	0.002125669908
2591	0.002124546204
2592	0.002124176539
2593	0.002123717587
2594	0.002122794727
2595	0.002121653477
